date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-10-11,144.02083333333334,99,0,473.28,4.78,12.34,VIIRS_SNPP_SP,590.36,120.0,393.04,76.0,60.1,32.0,485.56,233.80714285714288,147.16666666666666,140.5029761904762,6.16179786458987,4.605170185988092,5525.679999999999,-30.583333333333314,-117.08000000000004,0.15349488869285452,-0.1330338638652933,-0.49918008892817856,Low
2025-10-12,164.4375,113,0,536.2,4.75,17.24,VIIRS_SNPP_SP,473.28,99.0,590.36,120.0,393.04,76.0,533.2800000000001,298.78000000000003,161.02083333333334,138.21428571428572,6.286370464649083,4.736198448394496,6061.879999999999,20.416666666666657,62.92000000000007,0.17390119869233564,-0.05418495103710783,0.023795475672707157,Moderate
2025-10-13,168.20833333333334,116,0,626.6,5.4,23.12,VIIRS_SNPP_SP,536.2,113.0,473.28,99.0,590.36,120.0,545.36,388.2942857142857,158.8888888888889,139.28869047619045,6.441903020858877,4.762173934797756,6688.48,3.770833333333343,90.39999999999998,0.20321986404441908,0.05910083598876561,0.12038586056327918,Moderate
2025-10-14,158.6875,231,0,1102.33,4.77,76.41,VIIRS_SNPP_SP,626.6,116.0,536.2,113.0,473.28,99.0,755.0433333333334,540.2728571428571,163.7777777777778,148.15178571428572,7.006088158550399,5.44673737166631,7790.8099999999995,-9.520833333333343,475.7299999999999,0.35750934045975813,0.6552672902124246,-0.12349152007203215,Moderate
2025-10-15,165.83333333333334,247,0,1106.51,4.48,45.33,VIIRS_SNPP_SP,1102.33,231.0,626.6,116.0,536.2,113.0,945.1466666666666,689.76,164.24305555555557,156.95238095238096,7.009869531223899,5.5134287461649825,8897.32,7.145833333333343,4.180000000000064,0.3588650044107726,0.6605055047010104,0.059549927538278175,Moderate
2025-10-16,160.66666666666666,193,0,903.78,4.68,18.77,VIIRS_SNPP_SP,1106.51,247.0,1102.33,231.0,626.6,116.0,1037.54,762.722857142857,161.72916666666666,162.35119047619045,6.807691820225157,5.267858159063328,9801.1,-5.166666666666686,-202.73000000000002,0.2931153027865705,0.4064521020046019,-0.07279490921786488,Moderate
2025-10-17,160.70833333333334,159,0,773.26,4.86,22.55,VIIRS_SNPP_SP,903.78,193.0,1106.51,247.0,1102.33,231.0,927.85,788.8514285714285,162.4027777777778,160.36607142857142,6.6519077344948,5.075173815233827,10574.36,0.041666666666685614,-130.51999999999998,0.2507848580769031,0.2428894811791926,-0.07172761214725033,Moderate
2025-10-18,166.25,232,0,988.19,4.26,35.92,VIIRS_SNPP_SP,773.26,159.0,903.78,193.0,1106.51,247.0,888.4100000000002,862.41,162.54166666666666,163.54166666666669,6.896886426417028,5.4510384535657,11562.550000000001,5.541666666666657,214.93000000000006,0.320491282237559,0.5122314524786504,0.07022289824441846,Moderate
2025-10-19,176.14583333333334,337,0,1860.39,5.52,31.97,VIIRS_SNPP_SP,988.19,232.0,773.26,159.0,903.78,193.0,1207.28,1051.58,167.7013888888889,165.21428571428572,7.5290787994367605,5.823045895483019,13422.94,9.895833333333343,872.2,0.6033645114420632,1.6052387914605848,0.32370595251525625,Moderate
2025-10-20,176.39583333333334,438,0,1807.51,4.13,25.7,VIIRS_SNPP_SP,1860.39,337.0,988.19,232.0,773.26,159.0,1552.03,1220.2814285714285,172.93055555555557,166.38392857142858,7.500258580821156,6.0844994130751715,15230.45,0.25,-52.88000000000011,0.5862143894971719,1.5389716186958922,0.3301097349389406,Moderate
